name,ko,en,ja,ru,zhcht
Quest.Name.EquipmentCompose,장비를 합성하라!,Synthetic Equipment!,合成機器！,Синтетическое Оборудование!,合成設備！
Quest.Name.PorkUse,고기를 사용하라!,Use Meat!,肉を使ってください！,Используйте Мясо!,用肉！
Quest.Name.KeyUse,열쇠를 사용하라!,Use The Key!,キーを使用してください！,Используйте Ключ!,使用鑰匙！
Quest.Name.ChallengeFishFight,물고기를 잡아라!,Catch The Fish!,魚を捕まえる！,Поймай Рыбу!,釣魚！
Quest.Name.ChallengePigCow,리본 돼지 토벌!,Ribbon Pigs!,リボンブタ！,Ленточные Свиньи!,絲帶豬！
Quest.Name.ChallengeInfiniteTower,무한의 탑을 오르자!,Let'S Climb The Infinite Tower!,無限の塔に登りましょう！,Давайте Поднимаемся На Бесконечную Башню!,讓我們攀登無限塔！
Quest.Name.ChallengeCave,미믹 던전 탐험!,Mimic Dungeon Exploration!,ダンジョンの探索を模倣します！,Mimic Dungeon Exploration!,模仿地牢探索！
Quest.Name.ChallengeColosseum,콜로세움 출전!,Colosseum!,コロッセオ！,Колизей!,羅馬競技！
Quest.Name.SwordAdd,무기 모으기,Collecting Weapons,武器の収集,Сбор Оружия,收集武器
Quest.Name.ShieldAdd,방패 모으기,Shield Collection,シールドコレクション,Коллекция Щита,盾牌收集
Quest.Name.AccAdd,장비 합성,Equipment Synthesis,機器の合成,Синтез Оборудования,設備合成
Quest.Name.ChallengeDungeon,던전 도전,Dungeon,ダンジョン,Подземелье,地牢
Quest.Name.QuestReward,퀘스트 보상,Quest Reward,クエスト報酬,Quest Ward,任務獎勵
Quest.Description.Attendance,피그 슬레이어즈에 접속하세요.,Access Pig Slayers.,豚の殺害者にアクセスします。,Доступ К Убийствам Свиньи.,訪問豬殺手。
Quest.Description.MonsterKill,몬스터를 {0}회 물리치세요.,Defeat {0} Sashimi.,{0} Sashimiを倒します。,Поражение {0} Сашими.,打敗{0}生魚片。
Quest.Description.EquipmentAdd,장비를 {0}개 획득하세요.,Get The Equipment {0}.,機器を取得{0}。,Получите Оборудование {0}.,獲取設備{0}。
Quest.Description.RoyalGrowth,왕가 '성장' 레벨업을 {0}회 하세요.,{0} To Level Up The Royal Family 'Growth'.,{0}王室の「成長」を平準化する。,"{0}, Чтобы Повысить Рост Королевской Семьи '.",{0}升級王室“成長”。
Quest.Description.RoyalForce,왕가 '특성' 레벨업을 {0}회 하세요.,{0} To Level Up The Royal Family 'Characteristics'.,{0}王室の「特徴」を平準化する。,{0} Чтобы Выровнять Характеристики Королевской Семьи '.,{0}升級王室的“特徵”。
Quest.Description.EquipmentCompose,장비 합성을 {0}회 하세요.,{0} Soul The Equipment Synthesis.,{0}ソウル機器合成。,{0} Душа Синтез Оборудования.,{0}靈魂設備合成。
Quest.Description.PorkUse,고기'를 {0}회 사용하세요.,Use {0} Sashimi.,{0} Sashimiを使用します。,Используйте {0} Sashimi.,使用{0}生魚片。
Quest.Description.KeyUse,열쇠'를 {0}회 사용하세요.,Use {0} Sashimi.,{0} Sashimiを使用します。,Используйте {0} Sashimi.,使用{0}生魚片。
Quest.Description.ChallengeFishFight,던전 '피쉬 파이트'에 {0}회 도전하세요.,Challenge {0} To The Dungeon 'Fish Fight'.,ダンジョン「魚の戦い」へのチャレンジ{0}。,Задача {0} В Подземелье 'Fish Fight'.,挑戰{0}對地牢“魚打架”。
Quest.Description.ChallengePigCow,던전 '리본 돼지 토벌'에 {0}회 도전하세요.,Challenge {0} To The Dungeon 'Ribbon Pig'.,ダンジョン「リボンピッグ」への挑戦{0}。,Задача {0} В Подземелье 'Ленточная Свинья'.,挑戰{0}對地牢“絲帶豬”。
Quest.Description.ChallengeInfiniteTower,던전 '무한의 탑'에 {0}회 도전하세요.,Challenge {0} To The Dungeon 'Infinite Tower'.,ダンジョン「Infinite Tower」へのチャレンジ{0}。,Задача {0} В Подземелье «Бесконечная Башня».,挑戰{0}到地牢“無限塔”。
Quest.Description.ChallengeCave,던전 '미믹 던전'을 {0}회 탐험하세요.,Explore The Dungeon 'Mimic Dungeon'.,ダンジョン「ミミックダンジョン」を探索してください。,Исследуйте Подземелье «Mimic Dungeon».,探索地牢“模仿地牢”。
Quest.Description.ChallengeColosseum,던전 '콜로세움'에 {0}회 출전하세요.,Participate In The Dungeon 'Colosseum'.,ダンジョン「コロッセオ」に参加します。,Участвуйте В Подземелье «Колизей».,參加地牢“羅馬競賽”。
Quest.Description.SwordAdd,무기를 {0}개 모으세요.,Collect {0} Weapons.,{0}武器を集めます。,Соберите {0} Оружие.,收集{0}武器。
Quest.Description.ShieldAdd,방패를 {0}개 모으세요.,Collect {0} Shields.,{0}シールドを収集します。,Соберите {0} Щиты.,收集{0}盾牌。
Quest.Description.AccAdd,장비 합성을 {0}회 하세요.,{0} Soul The Equipment Synthesis.,{0}ソウル機器合成。,{0} Душа Синтез Оборудования.,{0}靈魂設備合成。
Quest.Description.ChallengeDungeon,던전 도전을 {0}회 하세요.,{0} {0}.,{0} {0}。,{0} {0}.,{0} {0}。
Quest.Description.QuestReward,퀘스트 보상을 {0}회 받으세요.,Receive {0} Sashimi For Quest Rewards.,クエスト報酬のために{0} Sashimiを受信します。,Получить {0} Сашими Для Quest Rewards.,接收{0}生魚片以獲得任務獎勵。
Royal.Growth.Name.00,공격력,Offense Power,攻撃力,Правонарушения,進攻力量
Royal.Growth.Name.01,체력,Health,健康,Здоровье,健康
Royal.Growth.Name.02,체력 회복,Health Recovery,健康回復,Восстановление Здоровья,健康恢復
Royal.Growth.Name.03,치명타율,Critical Batting Average,重要なバッティング平均,Критическое Среднее Значение Ватина,關鍵的擊球平均值
Royal.Growth.Name.04,치명타 공격력,Critical Damage,致命傷,Критическое Повреждение,嚴重損害
Royal.Growth.Name.05,슈퍼 치명타율,Super Fatal Batting Average,超致命的なバッティング平均,Супер Фатальный Средний,超級致命的擊球平均
Royal.Growth.Name.06,슈퍼 치명타 공격력,Super Critical Attack,超重要な攻撃,Супер Критическая Атака,超級關鍵的攻擊
Royal.Growth.Name.07,울트라 치명타율,Ultra Critical Batting Average,超重要なバッティング平均,Ультра -Критический Средний,超臨界擊球平均
Royal.Growth.Name.08,울트라 치명타 공격력,Ultra Critical Attack,超重要な攻撃,Ультра Критическая Атака,超臨界攻擊
Royal.Growth.Name.09,캡숑 치명타율,Capon Fatal Batting Average,Capon致命的なバッティング平均,Капон Смертельный Ватин Средний,卡孔致命的擊球平均
Royal.Growth.Name.10,캡숑 치명타 공격력,Capchon Critical Attack,Capchonクリティカル攻撃,Кэпчон Критическая Атака,Capchon關鍵攻擊
Royal.Growth.Name.11,짱짱 치명타율,Great Critical Batting Average,非常に重要なバッティング平均,Отличный Критический Средний,大關鍵擊球平均值
Royal.Growth.Name.12,짱짱 치명타 공격력,Awesome Damage Attack Power,素晴らしいダメージ攻撃力,Потрясающая Атака Ущерба,很棒的傷害攻擊力量
Royal.Force.Name.00,공격 속도 증가,Increase Attack Speed,攻撃速度を上げます,Увеличить Скорость Атаки,提高攻擊速度
Royal.Force.Name.01,이동 속도 증가,Increasing Movement Speed,移動速度の向上,Увеличение Скорости Движения,提高運動速度
Royal.Force.Name.02,치명타 공격력 증가,Increased Critical Damage,重大な損傷の増加,Увеличение Критического Ущерба,增加關鍵損害
Royal.Force.Name.03,명중률 증가,Increased Accuracy,精度の向上,Повышенная Точность,提高準確性
Royal.Force.Name.04,골드 보너스 증가,Gold Bonus Increase,ゴールドボーナスの増加,Золотой Бонус Увеличивается,黃金獎金增加
Royal.Force.Name.05,경험치 보너스 증가,Experience Bonus Increase,ボーナスの増加を経験します,Испытать Бонусный Увеличение,體驗獎勵增加
Royal.Force.Name.06,추가 공격력 증가,Increased Additional Damage,追加のダメージを増やしました,Увеличение Дополнительного Ущерба,增加額外損壞
Royal.Force.Name.07,추가 체력 증가,Increased Additional Health,追加の健康増加,Увеличение Дополнительного Здоровья,增加額外的健康
Royal.Force.Name.08,회피률 증가,Increased Evasion Rate,回避率の増加,Увеличение Уровня Уклонения,逃避率提高
Royal.Promotion.Name.00,성주,Castellan,カステラン,Кастеллан,卡斯特蘭
Royal.Promotion.Name.01,남작,Baron,男爵,Барон,男爵
Royal.Promotion.Name.02,자작,Viscount,子爵,Виконт,子爵
Royal.Promotion.Name.03,백작,Count,カウント,Считать,數數
Royal.Promotion.Name.04,후작,Marquis,マーキス,Маркиз,侯爵
Royal.Promotion.Name.05,공작,Peacock,孔雀,Павлин,孔雀
Royal.Promotion.Name.06,대공작,Anti -Work,ワーク,Анти -Работа,反工作
Royal.Promotion.Name.07,왕,King,王,Король,國王
Royal.Promotion.Name.08,국왕,King,王,Король,國王
Royal.Promotion.Name.09,대왕,Maharaja,マハラジャ,Махараджа,大公
Royal.Promotion.Name.10,황제,Emperor,天皇,Император,皇帝
Royal.Mastery.Battle.Name.Damage,공격 강화 {0},Strengthening Attack {0},攻撃の強化{0},Укрепление Атаки {0},加強攻擊{0}
Royal.Mastery.Battle.Description.Damage,추가 공격력 +{0},Additional Damage +{0},追加のダメージ +{0},Дополнительный Урон +{0},附加傷害 +{0}
Royal.Mastery.Battle.Name.SkillDamageRate,스킬 강화 {0},Skill Enhancement {0},スキルエンハンスメント{0},Улучшение Навыков {0},技能增強{0}
Royal.Mastery.Battle.Description.SkillDamageRate,추가 스킬 피해량 +{0}%,Additional Skill Damage +{0}%,追加のスキルダメージ +{0}％,Дополнительное Повреждение Навыков +{0}%,額外的技能傷害 +{0}％
Royal.Mastery.Battle.Name.Health,체력 강화 {0},Stamina Strengthening {0},スタミナ強化{0},Укрепление Выносливости {0},耐力加強{0}
Royal.Mastery.Battle.Description.Health,추가 체력 +{0},Additional Health +{0},追加の健康 +{0},Дополнительное Здоровье +{0},其他健康 +{0}
Royal.Mastery.Battle.Name.Acc,명중 강화 {0},Strengthening Hit {0},強化ヒット{0},Укрепление Хит {0},加強命中{0}
Royal.Mastery.Battle.Description.Acc,추가 명중률 +{0},Additional Accuracy +{0},追加の精度 +{0},Дополнительная Точность +{0},附加精度 +{0}
Royal.Mastery.Battle.Name.Dodge,회피 강화 {0},Evasion Enhancement {0},回避強化{0},Улучшение Уклонения {0},逃避增強{0}
Royal.Mastery.Battle.Description.Dodge,추가 회피율 +{0},Additional Evasion Rate +{0},追加の回避率 +{0},Дополнительная Скорость Уклонения +{0},額外的逃避率 +{0}
Royal.Mastery.Battle.Name.BossDamageRate,보스 강화 {0},Boss Strengthening {0},ボス強化{0},Босс Усиление {0},老闆加強{0}
Royal.Mastery.Battle.Description.BossDamageRate,추가 보스 피해량 +{0}%,Additional Boss Damage +{0}%,追加のボスダメージ +{0}％,Дополнительный Урон Босса +{0}%,額外的老闆傷害 +{0}％
Royal.Mastery.Bonus.Name.StageGoldBonusRate,골드 보너스 {0},Gold Bonus {0},ゴールドボーナス{0},Золотой Бонус {0},金獎金{0}
Royal.Mastery.Bonus.Description.StageGoldBonusRate,스테이지에서 골드 추가 획득 +{0}%,Additional Gold On The Stage +{0}%,ステージ上の追加の金 +{0}％,Дополнительное Золото На Стадии +{0}%,舞台上的其他黃金 +{0}％
Royal.Mastery.Bonus.Name.DungeonGoldBonusRate,골드 던전 {0},Gold Dungeon {0},ゴールドダンジョン{0},Золотое Подземелье {0},金地下城{0}
Royal.Mastery.Bonus.Description.DungeonGoldBonusRate,던전에서 골드 추가 획득 +{0}%,Additional Gold In The Dungeon +{0}%,ダンジョンの追加の金 +{0}％,Дополнительное Золото В Подземелье +{0}%,地牢中的其他金 +{0}％
Royal.Mastery.Bonus.Name.StageJellyBonusRate,젤리 보너스 {0},Jelly Bonus {0},ゼリーボーナス{0},Желе Бонус {0},果凍獎勵{0}
Royal.Mastery.Bonus.Description.StageJellyBonusRate,스테이지에서 젤리 추가 획득 +{0}%,Added Jelly From The Stage +{0}%%,ステージからゼリーを追加 +{0} %%,Добавлен Желе Со Сцены +{0} %%,從舞台 +{0} %%添加了果凍
Royal.Mastery.Bonus.Name.DungeonJellyBonusRate,골드 던전 {0},Gold Dungeon {0},ゴールドダンジョン{0},Золотое Подземелье {0},金地下城{0}
Royal.Mastery.Bonus.Description.DungeonJellyBonusRate,던전에서 젤리 추가 획득 +{0}%,Additional Jelly From The Dungeon +{0}%%,ダンジョン +{0}からの追加のゼリー,Дополнительное Желе Из Dungeon +{0} %%,來自地牢 +{0} %%的其他果凍
Royal.Mastery.Bonus.Name.StageExpBonusRate,성장 보너스 {0},Growth Bonus {0},成長ボーナス{0},Бонус Роста {0},增長獎金{0}
Royal.Mastery.Bonus.Description.StageExpBonusRate,스테이지에서 경험치 추가 획득 +{0}%,Additional Experience On The Stage +{0}%%,ステージでの追加エクスペリエンス +{0} %%,Дополнительный Опыт На Стадии +{0} %%,舞台上的其他經驗 +{0} %%
Royal.Mastery.Bonus.Name.DungeonExpBonusRate,성장 던전 {0},Growth Dungeon {0},成長ダンジョン{0},Подземелье Для Роста {0},增長地牢{0}
Royal.Mastery.Bonus.Description.DungeonExpBonusRate,던전에서 경험치 추가 획득 +{0}%,Additional Experience In Dungeons +{0}%%,ダンジョン +{0} %%での追加エクスペリエンス,Дополнительный Опыт В Подземельях +{0} %%,地牢 +{0} %%的其他經驗
Royal.Mastery.Utile.Name.AttackSpeed,공격 속도 {0},Attack Speed {0},攻撃速度{0},Скорость Атаки {0},攻擊速度{0}
Royal.Mastery.Utile.Description.AttackSpeed,공격 속도 +{0},Attack Speed +{0},攻撃速度 +{0},Скорость Атаки +{0},攻擊速度 +{0}
Royal.Mastery.Utile.Name.MoveSpeed,이동 속도 {0},Movement Speed {0},移動速度{0},Скорость Движения {0},運動速度{0}
Royal.Mastery.Utile.Description.MoveSpeed,이동 속도 +{0},Mobile Speed +{0},モバイル速度 +{0},Мобильная Скорость +{0},移動速度 +{0}
Royal.Mastery.Utile.Name.SkillCoolTimeReduceRate,스킬 쿨타임 {0},Skill Cold Time {0},スキルコールドタイム{0},Навык Холодное Время {0},技能冷時間{0}
Royal.Mastery.Utile.Description.SkillCoolTimeReduceRate,스킬 쿨타임 -{0}%,Skill Cold Time- {0}%,スキルコールドタイム -  {0}％,Навык Холодное Время- {0}%,技能冷時間 -  {0}％
Rune.Name.00,맹공의 룬,Runner -Up,準優勝,Второе Место,亞軍
Rune.Name.01,생명의 룬,Lifestyle,ライフスタイル,Стиль Жизни,生活方式
Rune.Name.02,풍요의 룬,Rich,リッチ,Богатый,富有的
Rune.Name.03,경험의 룬,Run Of Experience,経験の実行,Пробег Опыта,經驗
Rune.Name.04,질풍의 룬,Runner -Up,準優勝,Второе Место,亞軍
Rune.Name.05,송곳의 룬,Rune,ルーン,Руна,符文
Rune.Name.06,치명상의 룬,Dazzle,眩しい,Ослепитель,炫
Rune.Name.07,명중의 룬,Rune,ルーン,Руна,符文
Rune.Name.08,지혜의 룬,Wisdom,知恵,Мудрость,智慧
Rune.Name.09,용기의 룬,Cherry,チェリー,Вишня,櫻桃
Rune.Name.10,바람의 룬,Wind Rune,ウィンドルーン,Ветром Руна,風符文
Rune.Name.11,젤리의 룬,Jelly,ゼリー,Желе,果凍
Rune.Name.12,대지의 룬,Rune,ルーン,Руна,符文
Rune.Name.13,탐색의 룬,Search,検索,Поиск,搜索
Rune.Name.14,수집의 룬,Rune,ルーン,Руна,符文
Rune.Name.15,약화의 룬,Run Of Weakness,弱さの実行,Забег Слабости,弱點
Rune.Name.16,폭주의 룬,Runaway,逃げる,Убегать,逃跑
Rune.Name.17,황제의 룬,Emperor,天皇,Император,皇帝
Rune.Description.00,공격력이 증가합니다.,The Damage Increases.,損傷が増加します。,Ущерб Увеличивается.,傷害增加。
Rune.Description.01,체력이 증가합니다.,Stamina Increases.,スタミナが増加します。,Выносливость Увеличивается.,耐力增加。
Rune.Description.02,골드 획득량이 증가합니다.,Gold Acquisition Increases.,金の獲得が増加します。,Приобретение Золота Увеличивается.,獲得黃金的增加。
Rune.Description.03,경험치 획득량이 증가합니다.,Experience Acquisition Increases.,経験の増加が増加します。,Опыт Приобретения Увеличивается.,經驗獲取的增加。
Rune.Description.04,공격속도가 증가합니다.,The Attack Speed Increases.,攻撃速度が増加します。,Скорость Атаки Увеличивается.,攻擊速度增加。
Rune.Description.05,치명타 확률이 증가합니다.,The Critical Strike Chance Increases.,クリティカルストライクの機会が増加します。,Критический Ударный Шанс Увеличивается.,關鍵的罷工機會增加了。
Rune.Description.06,치명타 피해량이 증가합니다.,Critical Damage Damage Increases.,重大な損傷が増加します。,Критический Ущерб Увеличивается.,關鍵傷害增加。
Rune.Description.07,명중이 증가합니다.,Hit Increases.,ヒットの増加。,Увеличение Удара.,命中率增加。
Rune.Description.08,스킬 피해량이 증가합니다.,Skill Damage Increases.,スキルの損傷が増加します。,Ущерб Навыка Увеличивается.,技能損害增加。
Rune.Description.09,보스 피해량이 증가합니다.,Boss Damage Increases.,ボスのダメージが増加します。,Ущерб Босса Увеличивается.,老闆傷害增加。
Rune.Description.10,이동속도가 증가합니다.,Movement Speed Increases.,移動速度が増加します。,Скорость Движения Увеличивается.,運動速度增加。
Rune.Description.11,젤리 획득량이 증가합니다.,Jelly Acquisition Increases.,ゼリーの取得が増加します。,Приобретение Желе Увеличивается.,果凍的獲取增加。
Rune.Description.12,받는 피해량이 감소합니다.,The Damage Is Reduced.,損傷は減少します。,Ущерб Уменьшается.,損壞減少了。
Rune.Description.13,장비 강화석 획득량이 증가합니다.,Equipment Reinforcement Acquisition Increases.,機器の強化の獲得が増加します。,Приобретение Усиления Оборудования Увеличивается.,設備加固採集增加。
Rune.Description.14,장비 획득 확률이 증가합니다.,The Probability Of Equipment Acquisition Increases.,機器の取得の可能性が増加します。,Вероятность Приобретения Оборудования Увеличивается.,設備採集的可能性增加。
Rune.Description.15,몬스터의 공격력을 감소시킵니다.,Reduces The Attack Power Of The Monster.,モンスターの攻撃力を減らします。,Уменьшает Силу Атаки Монстра.,降低了怪物的攻擊力。
Rune.Description.16,스킬 쿨타임을 감소시킵니다.,Reduces Skill Cooldown.,スキルクールダウンを減らします。,Уменьшает Увольнение.,減少技能冷卻。
Rune.Description.17,회피 확률이 증가합니다.,The Probability Of Evasion Increases.,回避の確率が増加します。,Вероятность Уклонения Увеличивается.,逃避的可能性增加。
Shop.Name.00,황금 티켓 x1,Golden Ticket X1,ゴールデンチケットx1,Золотой Билет X1,金票x1
Shop.Name.01,고기 x 20,Meat X 20,肉x 20,Мясо X 20,肉x 20
Shop.Name.02,열쇠 x10,Key X10,キーx10,Ключ X10,鍵x10
Shop.Name.03,루비 x300,Ruby X300,Ruby X300,Ruby X300,紅寶石x300
Shop.Name.04,"루비 1,000개","1,000 Rubies","1,000ルビー",1000 Рубин,"1,000紅寶石"
Shop.Name.05,"루비 3,000개","3,000 Rubies","3,000ルビー",3000 Рубин,"3,000紅寶石"
Shop.Name.06,"루비 6,500개","Ruby 6,500","Ruby 6,500",Ruby 6500,"紅寶石6,500"
Shop.Name.07,"루비 21,000개","Ruby 21,000","Ruby 21,000",Руби 21 000,"紅寶石21,000"
Shop.Name.08,"루비 45,000개","Ruby 45,000","Ruby 45,000",Руби 45 000,"紅寶石45,000"
Shop.Name.09,"보석 100,000개","100,000 Jewelry","100,000ジュエリー",100 000 Ювелирных Изделий,"100,000首珠寶"
Shop.Name.10,무한 광고 제거,Infinite Advertising Removal,無限の広告削除,Бесконечное Устранение Рекламы,無限廣告刪除
Shop.Name.11,무한 공격의 축복 패키지,Infinite Attack Blessing Package,無限の攻撃の祝福パッケージ,Бесконечный Пакет Благословения Атаки,無限攻擊祝福包
Shop.Name.12,무한 생명의 축복 패키지,Infinite Life Blessing Package,Infinite Life Blessingパッケージ,Бесконечный Пакет Благословения Жизни,無限的生命祝福套餐
Shop.Name.13,무한 탐욕의 축복 패키지,Blessing Package Of Infinite Greed,無限の貪欲の祝福パッケージ,Благословение Пакет Бесконечной Жадности,無限貪婪的祝福套餐
Shop.Name.14,무한 경험의 축복 패키지,Blessing Package Of Infinite Experience,無限の経験の祝福パッケージ,Благословенный Пакет Бесконечного Опыта,無限體驗的祝福套餐
Shop.Name.15,무한 채굴의 축복 패키지,Infinite Mining Blessing Package,Infinite Mining Blessingパッケージ,Бесконечный Пакет Благословения По Добыче Полезных Ископаемых,無限採礦祝福包
Shop.Name.16,고기 x50,Meat X50,肉x50,Мясо X50,肉x50
Shop.Name.17,"루비 x10,000","Ruby X10,000","Ruby X10,000",Ruby X10 000,"紅寶石x10,000"
Shop.Name.18,스킵 티켓 x20,Skip Kwon X20,Kwon X20をスキップします,Skip Kwon X20,跳過kwon X20
Shop.Name.19,열쇠 x50,Key X50,キーx50,Ключ X50,鑰匙x50
Shop.Name.20,황금 티켓 x5,Golden Ticket X5,ゴールデンチケットx5,Золотой Билет X5,金票x5
Shop.Name.21,"주사위 x5,000","Dice X5,000","サイコロx5,000",Кости X5000,"骰子x5,000"
Shop.Name.22,뿅망치 x50,Uphamchi X50,Uphamchi X50,Uphamchi X50,Uphamchi X50
Shop.Name.23,고속 <color=#F11F1F>스타트</color> 패키지 I,High Speed <Color =#F11F1F> Start </Color> Package I,高速<色=＃F11F1F> Start </Color>パッケージi,Высокая Скорость <Color =#F11F1F> Start </Color> Пакет I,高速<Color =＃F11F1F>開始</Color>軟件包i
Shop.Name.24,고속 <color=#F11F1F>스타트</color> 패키지 II,High Speed ​​<Color =#F11F1F> Start </Color> Package Ii,高速<色=＃F11F1F> Start </Color>パッケージii,Высокая Скорость <Color =#F11F1F> Start </Color> Пакет Ii,高速<Color =＃F11F1F>開始</Color>軟件包ii
Shop.Name.25,고속 <color=#F11F1F>스타트</color> 패키지 III,High Speed <Color =#F11F1F> Start </Color> Package Iii,高速<色=＃F11F1F> Start </Color>パッケージiii,Высокая Скорость <Color =#F11F1F> Start </Color> Пакет Iii,高速<Color =＃F11F1F>開始</Color>軟件包iii
Shop.Name.26,<color=#FF0000>루비</color> 프리미엄,<Color =#Ff0000> Ruby </Color> Premium,<色=＃Ff0000> Ruby​​ </Color>プレミアム,<Color =#Ff0000> Ruby </Color> Premium,<Color =＃Ff0000>紅寶石</Color>優質
Shop.Name.27,주간 마차 <color=#FFD515>황금 티켓</color> I,Weekly Wagon <Color =#Ffd515> Golden Ticket </Color> I,毎週のワゴン<色=＃Ffd515>ゴールデンチケット</Color> I,Weekly Wagon <Color =#Ffd515> Золотой Билет </Color> I,每週旅行車<Color =＃Ffd515>金票</Color> I
Shop.Name.28,주간 마차 <color=#FFD515>황금 티켓</color> II,Weekly Wagon <Color =#Ffd515> Golden Ticket </Color> Ii,毎週のワゴン<色=＃Ffd515>ゴールデンチケット</Color> Ii,Weekly Wagon <Color =#Ffd515> Золотой Билет </Color> Ii,每週旅行車<Color =＃Ffd515>金票</Color> Ii
Shop.Name.29,주간 마차 <color=#FFD515>황금 티켓</color> III,Weekly Wagon <Color =#Ffd515> Golden Ticket </Color> Iii,毎週のワゴン<色=＃Ffd515>ゴールデンチケット</Color> Iii,Weekly Wagon <Color =#Ffd515> Золотой Билет </Color> Iii,每週旅行車<Color =＃Ffd515>金票</Color> Iii
Shop.Name.30,일일 <color=#6EC4DD>프리미엄</color> 지원상자 I,Daily <Color =#6Ec4Dd> Premium </Color> Support Box I,毎日<色=＃6Ec4Dd>プレミアム</Color>サポートボックスi,Daily <Color =#6Ec4Dd> Premium </Color> Box I.,每日<Color =＃6Ec4Dd> Premium </Color>支持框我
Shop.Name.31,일일 <color=#6EC4DD>프리미엄</color> 지원상자 II,Daily <Color =#6Ec4Dd> Premium </Color> Support Box Ii,毎日<色=＃6Ec4Dd>プレミアム</Color>サポートボックスii,Daily <Color =#6Ec4Dd> Premium </Color> Box Oper Ii,每日<Color =＃6Ec4Dd> Premium </Color>支持框ii
Shop.Name.32,일일 <color=#6EC4DD>프리미엄</color> 지원상자 III,Daily <Color =#6Ec4Dd> Premium </Color> Support Box Iii,毎日<色=＃6Ec4Dd>プレミアム</Color>サポートボックスiii,Daily <Color =#6Ec4Dd> Premium </Color> Box Iii Поддержки Iii,每日<Color =＃6Ec4Dd> Premium </Color>支持框iii
Shop.Name.33,일일 <color=#6EC4DD>프리미엄</color> 지원상자 IV,Daily <Color =#6Ec4Dd> Premium </Color> Support Box Iv,毎日<色=＃6Ec4Dd>プレミアム</Color>サポートボックスiv,Daily <Color =#6Ec4Dd> Premium </Color> Box Iv Поддержка Iv,每日<Color =＃6Ec4Dd> Premium </Color>支持框iv
Shop.Name.34,일일 <color=#6EC4DD>프리미엄</color> 지원상자 V,Daily <Color =#6Ec4Dd> Premium </Color> Support Box V,毎日<色=＃6Ec4Dd>プレミアム</Color>サポートボックスv,Daily <Color =#6Ec4Dd> Premium </Color> Box V.,每日<Color =＃6Ec4Dd> Premium </Color>支持框v
Shop.Name.35,주간 <color=#EED878>프리미엄</color> 지원상자 I,Weekly <Color =#Eed878> Premium </Color> Support Box I,毎週<色=＃Eed878>プレミアム</Color>サポートボックスi,Weekly <Color =#Eed878> Premium </Color> Box I.,每週<Color =＃Eed878> Premium </Color>支持框我
Shop.Name.36,주간 <color=#EED878>프리미엄</color> 지원상자 II,Weekly <Color = #Eed878> Premium </Color> Support Box Ii,毎週<色=＃Eed878>プレミアム</Color>サポートボックスii,Weekly <Color = #Eed878> Premium </Color> Box Ii Поддержки Ii,每週<Color =＃Eed878> Premium </Color>支持框ii
Shop.Name.37,주간 <color=#EED878>프리미엄</color> 지원상자 III,Weekly <Color = #Eed878> Premium </Color> Support Box Iii,Weekly <Color =＃Eed878> Premium </Color>サポートボックスiii,Weekly <Color = #Eed878> Premium </Color> Box Iii Поддержки Iii,每週<Color =＃Eed878> Premium </Color>支持框iii
Shop.Name.38,주간 <color=#EED878>프리미엄</color> 지원상자 IV,Weekly <Color = #Eed878> Premium </Color> Support Box Iv,Weekly <Color =＃Eed878> Premium </Color>サポートボックスiv,Weekly <Color = #Eed878> Premium </Color> Box Iv Поддержка Iv,每週<Color =＃Eed878> Premium </Color>支持框iv
Shop.Name.39,주간 <color=#EED878>프리미엄</color> 지원상자 V,Weekly <Color =#Eed878> Premium </Color> Support Box V,毎週<色=＃Eed878>プレミアム</Color>サポートボックスv,Weekly <Color =#Eed878> Premium </Color> Box V,每週<Color =＃Eed878> Premium </Color>支持框v
Shop.Name.40,무합의 탑 스페셜,Top Special,トップスペシャル,Top Special,頂級特價
Shop.Name.41,무한의 탑 프리미엄,Infinite Top Premium,無限のトッププレミアム,Бесконечная Верхняя Премия,無限高級
Shop.Name.42,재화 던전 프리미엄,Goods Dungeon Premium,Goods Dungeon Premium,Товарный Подземелий Премиум,商品地牢溢價
Shop.Name.43,일일 <color=#6EC4DD>프리미엄</color> 황금마차 I,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon I,毎日<色=＃6Ec4Dd>プレミアム</Color>ゴールデンワゴンi,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon I,每日<Color =＃6Ec4Dd> Premium </Color>黃金旅行車
Shop.Name.44,일일 <color=#6EC4DD>프리미엄</color> 황금마차 II,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Ii,毎日<色=＃6Ec4Dd>プレミアム</Color>ゴールデンワゴンii,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Ii Ii,每日<Color =＃6Ec4Dd> Premium </Color>黃金旅行車ii
Shop.Name.45,일일 <color=#6EC4DD>프리미엄</color> 황금마차 III,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Iii,毎日<色=＃6Ec4Dd>プレミアム</Color>ゴールデンワゴンiii,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Iii,每日<Color =＃6Ec4Dd> Premium </Color>黃金貨車iii
